created_at,TextPivot,Number of Records
18/03/2020,lockdown,50
18/03/2020,lives,86
18/03/2020,latest,84
18/03/2020,jobs,436
18/03/2020,income,598
18/03/2020,impact,178
18/03/2020,home,299
18/03/2020,help,620
18/03/2020,health,253
18/03/2020,government,291
18/03/2020,good,185
18/03/2020,global,107
18/03/2020,economy,734
18/03/2020,economic,136
18/03/2020,debt,63
18/03/2020,crisis,327
18/03/2020,country,137
18/03/2020,China,165
18/03/2020,care,165
18/03/2020,businesses,301
18/03/2020,business,1360
18/03/2020,#economy,147
18/03/2020,#business,133
18/03/2020,@realDonaldTrump,201
19/03/2020,world,233
19/03/2020,working,193
19/03/2020,workers,222
19/03/2020,work,373
19/03/2020,virus,166
19/03/2020,US,148
19/03/2020,Trump,157
19/03/2020,today,92
19/03/2020,time,386
19/03/2020,support,321
19/03/2020,small,205
19/03/2020,save,98
19/03/2020,right,239
19/03/2020,response,84
19/03/2020,rent,380
19/03/2020,public,115
19/03/2020,paying,211
19/03/2020,pay,860
19/03/2020,pandemic,265
19/03/2020,package,37
19/03/2020,open,84
19/03/2020,new,192
19/03/2020,needed,74
19/03/2020,money,1075
19/03/2020,million,58
19/03/2020,lost,115
19/03/2020,lockdown,36
19/03/2020,lives,111
19/03/2020,latest,84
19/03/2020,jobs,397
19/03/2020,income,589
19/03/2020,impact,142
19/03/2020,home,262
19/03/2020,help,497
19/03/2020,health,165
19/03/2020,government,269
19/03/2020,good,137
19/03/2020,global,89
19/03/2020,economy,653
19/03/2020,economic,123
19/03/2020,debt,45
19/03/2020,crisis,310
19/03/2020,country,141
19/03/2020,China,168
19/03/2020,care,132
19/03/2020,businesses,253
19/03/2020,business,1270
19/03/2020,#economy,73
19/03/2020,#business,125
19/03/2020,@realDonaldTrump,158
20/03/2020,world,138
20/03/2020,working,185
20/03/2020,workers,317
20/03/2020,work,326
20/03/2020,virus,146
20/03/2020,US,108
20/03/2020,Trump,116
20/03/2020,today,126
20/03/2020,time,403
20/03/2020,support,278
20/03/2020,small,227
20/03/2020,save,122
20/03/2020,right,178
20/03/2020,response,99
20/03/2020,rent,221
20/03/2020,public,125
20/03/2020,paying,187
20/03/2020,pay,866
20/03/2020,pandemic,297
20/03/2020,package,73
20/03/2020,open,77
20/03/2020,new,169
20/03/2020,needed,69
20/03/2020,money,900
20/03/2020,million,78
20/03/2020,lost,114
20/03/2020,lockdown,46
20/03/2020,lives,107
20/03/2020,latest,98
20/03/2020,jobs,448
20/03/2020,income,331
20/03/2020,impact,199
20/03/2020,home,268
20/03/2020,help,524
20/03/2020,health,184
20/03/2020,government,247
20/03/2020,good,177
20/03/2020,global,87
20/03/2020,economy,569
20/03/2020,economic,237
20/03/2020,debt,18
20/03/2020,crisis,375
20/03/2020,country,121
20/03/2020,China,94
20/03/2020,care,113
20/03/2020,businesses,248
20/03/2020,business,1252
20/03/2020,#economy,79
20/03/2020,#business,89
20/03/2020,@realDonaldTrump,214
21/03/2020,world,140
21/03/2020,working,117
21/03/2020,workers,334
21/03/2020,work,205
21/03/2020,virus,130
21/03/2020,US,99
21/03/2020,Trump,139
21/03/2020,today,62
21/03/2020,time,265
21/03/2020,support,210
21/03/2020,small,236
21/03/2020,save,115
21/03/2020,right,133
21/03/2020,response,85
21/03/2020,rent,128
21/03/2020,public,95
21/03/2020,paying,164
21/03/2020,pay,761
21/03/2020,pandemic,201
21/03/2020,package,113
21/03/2020,open,82
21/03/2020,new,86
21/03/2020,needed,37
21/03/2020,money,762
21/03/2020,million,33
21/03/2020,lost,92
21/03/2020,lockdown,48
21/03/2020,lives,78
21/03/2020,latest,71
21/03/2020,jobs,309
21/03/2020,income,217
21/03/2020,impact,127
21/03/2020,home,176
21/03/2020,help,337
21/03/2020,health,132
21/03/2020,government,196
21/03/2020,good,89
21/03/2020,global,69
21/03/2020,economy,481
21/03/2020,economic,157
21/03/2020,debt,27
21/03/2020,crisis,265
21/03/2020,country,73
21/03/2020,China,101
21/03/2020,care,123
21/03/2020,businesses,226
21/03/2020,business,788
21/03/2020,#economy,66
21/03/2020,#business,126
21/03/2020,@realDonaldTrump,207
22/03/2020,world,77
22/03/2020,working,84
22/03/2020,workers,457
22/03/2020,work,149
22/03/2020,virus,106
22/03/2020,US,84
22/03/2020,Trump,86
22/03/2020,today,29
22/03/2020,time,181
22/03/2020,support,103
22/03/2020,small,91
22/03/2020,save,91
22/03/2020,right,117
22/03/2020,response,34
22/03/2020,rent,89
22/03/2020,public,52
22/03/2020,paying,127
22/03/2020,pay,757
22/03/2020,pandemic,76
22/03/2020,package,44
22/03/2020,open,27
22/03/2020,new,79
22/03/2020,needed,44
22/03/2020,money,569
22/03/2020,million,27
22/03/2020,lost,58
22/03/2020,lockdown,33
22/03/2020,lives,337
22/03/2020,latest,33
22/03/2020,jobs,213
22/03/2020,income,115
22/03/2020,impact,70
22/03/2020,home,105
22/03/2020,help,224
22/03/2020,health,365
22/03/2020,government,121
22/03/2020,good,63
22/03/2020,global,44
22/03/2020,economy,401
22/03/2020,economic,164
22/03/2020,debt,19
22/03/2020,crisis,218
22/03/2020,country,81
22/03/2020,China,55
22/03/2020,care,336
22/03/2020,businesses,386
22/03/2020,business,481
22/03/2020,#economy,38
22/03/2020,#business,41
22/03/2020,@realDonaldTrump,204
23/03/2020,world,210
23/03/2020,working,196
23/03/2020,workers,373
23/03/2020,work,367
23/03/2020,virus,210
23/03/2020,US,157
23/03/2020,Trump,247
23/03/2020,today,124
23/03/2020,time,384
23/03/2020,support,239
23/03/2020,small,241
23/03/2020,save,169
23/03/2020,right,244
23/03/2020,response,87
23/03/2020,rent,262
23/03/2020,public,132
23/03/2020,paying,184
23/03/2020,pay,779
23/03/2020,pandemic,292
23/03/2020,package,79
23/03/2020,open,99
23/03/2020,new,160
23/03/2020,needed,70
23/03/2020,money,1067
23/03/2020,million,57
23/03/2020,lost,118
23/03/2020,lockdown,107
23/03/2020,lives,212
23/03/2020,latest,68
23/03/2020,jobs,521
23/03/2020,income,210
23/03/2020,impact,184
23/03/2020,home,262
23/03/2020,help,584
23/03/2020,health,265
23/03/2020,government,267
23/03/2020,good,192
23/03/2020,global,93
23/03/2020,economy,926
23/03/2020,economic,265
23/03/2020,debt,40
23/03/2020,crisis,412
23/03/2020,country,160
23/03/2020,China,69
23/03/2020,care,214
23/03/2020,businesses,352
23/03/2020,business,1149
23/03/2020,#economy,117
23/03/2020,#business,82
23/03/2020,@realDonaldTrump,368
24/03/2020,world,190
24/03/2020,working,202
24/03/2020,workers,316
24/03/2020,work,352
24/03/2020,virus,160
24/03/2020,US,171
24/03/2020,Trump,281
24/03/2020,today,92
24/03/2020,time,318
24/03/2020,support,187
24/03/2020,small,132
24/03/2020,save,175
24/03/2020,right,231
24/03/2020,response,55
24/03/2020,rent,126
24/03/2020,public,88
24/03/2020,paying,132
24/03/2020,pay,612
24/03/2020,pandemic,182
24/03/2020,package,250
24/03/2020,open,135
24/03/2020,new,143
24/03/2020,needed,41
24/03/2020,money,867
24/03/2020,million,102
24/03/2020,lost,90
24/03/2020,lockdown,119
24/03/2020,lives,247
24/03/2020,latest,45
24/03/2020,jobs,295
24/03/2020,income,164
24/03/2020,impact,89
24/03/2020,home,243
24/03/2020,help,369
24/03/2020,health,194
24/03/2020,government,186
24/03/2020,good,153
24/03/2020,global,68
24/03/2020,economy,1236
24/03/2020,economic,167
24/03/2020,debt,36
24/03/2020,crisis,272
24/03/2020,country,162
24/03/2020,China,95
24/03/2020,care,161
24/03/2020,businesses,236
24/03/2020,business,861
24/03/2020,#economy,113
24/03/2020,#business,95
24/03/2020,@realDonaldTrump,320
25/03/2020,world,295
25/03/2020,working,290
25/03/2020,workers,347
25/03/2020,work,510
25/03/2020,virus,203
25/03/2020,US,260
25/03/2020,Trump,304
25/03/2020,today,136
25/03/2020,time,481
25/03/2020,support,349
25/03/2020,small,348
25/03/2020,save,198
25/03/2020,right,296
25/03/2020,response,131
25/03/2020,rent,338
25/03/2020,public,139
25/03/2020,paying,308
25/03/2020,pay,1100
25/03/2020,pandemic,333
25/03/2020,package,203
25/03/2020,open,174
25/03/2020,new,246
25/03/2020,needed,70
25/03/2020,money,1590
25/03/2020,million,131
25/03/2020,lost,135
25/03/2020,lockdown,92
25/03/2020,lives,221
25/03/2020,latest,111
25/03/2020,jobs,362
25/03/2020,income,319
25/03/2020,impact,185
25/03/2020,home,314
25/03/2020,help,697
25/03/2020,health,298
25/03/2020,government,281
25/03/2020,good,206
25/03/2020,global,107
25/03/2020,economy,1240
25/03/2020,economic,125
25/03/2020,debt,61
25/03/2020,crisis,373
25/03/2020,country,211
25/03/2020,China,167
25/03/2020,care,216
25/03/2020,businesses,357
25/03/2020,business,1477
25/03/2020,#economy,165
25/03/2020,#business,158
25/03/2020,@realDonaldTrump,354
26/03/2020,world,275
26/03/2020,working,184
26/03/2020,workers,270
26/03/2020,work,424
26/03/2020,virus,208
26/03/2020,US,233
26/03/2020,Trump,183
26/03/2020,today,133
26/03/2020,time,400
26/03/2020,support,352
26/03/2020,small,241
26/03/2020,save,147
26/03/2020,right,245
26/03/2020,response,110
26/03/2020,rent,361
26/03/2020,public,68
26/03/2020,paying,269
26/03/2020,pay,1076
26/03/2020,pandemic,330
26/03/2020,package,133
26/03/2020,open,126
26/03/2020,new,184
26/03/2020,needed,61
26/03/2020,money,1374
26/03/2020,million,210
26/03/2020,lost,149
26/03/2020,lockdown,149
26/03/2020,lives,195
26/03/2020,latest,97
26/03/2020,jobs,434
26/03/2020,income,294
26/03/2020,impact,163
26/03/2020,home,255
26/03/2020,help,606
